constituency_name,year,source,religion,population,percent
Afzalpur,2011,Census 2011 (Proxy Matched),Hindu,189357.0,85.9389395431585
Aland,2011,Census 2011 (Proxy Matched),Hindu,288249.0,84.23235059481541
Aland (SC),2011,Census 2011 (Proxy Matched),Hindu,288249.0,84.23235059481541
Alur,2011,Census 2011 (Proxy Matched),Hindu,79584.0,93.3481907219518
Anekal (SC),2011,Census 2011 (Proxy Matched),Hindu,471217.0,91.04323044969328
Arabhavi,2011,Census 2011 (Proxy Matched),Hindu,667698.75,87.25764216393345
Arasikere,2011,Census 2011 (Proxy Matched),Hindu,202853.0,91.89792572437916
Arkalgud,2011,Census 2011 (Proxy Matched),Hindu,195520.0,95.5690788669746
Athani,2011,Census 2011 (Proxy Matched),Hindu,434579.0,82.64597818314596
Aurad (SC),2011,Census 2011 (Proxy Matched),Hindu,247061.0,88.74317528735632
B.T.M.Layout,2011,Census 2011 (Proxy Matched),Hindu,181121.0,88.23377534417412
Babaleshwar,2011,Census 2011 (Proxy Matched),Hindu,552381.0,76.60520750268695
Badami,2011,Census 2011 (Proxy Matched),Hindu,298526.0,90.22728646557456
Bagalkot,2011,Census 2011 (Proxy Matched),Hindu,241358.0,84.65315628134711
Bagepalli,2011,Census 2011 (Proxy Matched),Hindu,241816.3,89.29776730009154
Bailhongal,2011,Census 2011 (Proxy Matched),Hindu,0.0,0.0
Bangalore South,2011,Census 2011 (Proxy Matched),Hindu,181121.0,88.23377534417412
Bangarapet (SC),2011,Census 2011 (Proxy Matched),Hindu,271077.1,85.51802876121829
Bantwal,2011,Census 2011 (Proxy Matched),Hindu,242240.0,61.26764125651272
Basavakalyan,2011,Census 2011 (Proxy Matched),Hindu,271566.0,78.65846770572952
Basavana Bagevadi,2011,Census 2011 (Proxy Matched),Hindu,300615.0,86.2050177649181
Basavanagudi,2011,Census 2011 (Proxy Matched),Hindu,181121.0,88.23377534417412
Belgaum Dakshin,2011,Census 2011 (Proxy Matched),Hindu,270299.05,80.66688740960942
Belgaum Rural,2011,Census 2011 (Proxy Matched),Hindu,231684.9,80.66688740960943
Belgaum Uttar,2011,Census 2011 (Proxy Matched),Hindu,270299.05,80.66688740960942
Bellary (ST),2011,Census 2011 (Proxy Matched),Hindu,764606.6,82.00489622705656
Bellary City,2011,Census 2011 (Proxy Matched),Hindu,623864.0,80.92366482516549
Belthangady,2011,Census 2011 (Proxy Matched),Hindu,191125.0,71.69275551504376
Belur,2011,Census 2011 (Proxy Matched),Hindu,168043.0,91.1009552310011
Bhadravati,2011,Census 2011 (Proxy Matched),Hindu,275346.0,81.02081531046416
Bhalki,2011,Census 2011 (Proxy Matched),Hindu,237759.0,85.72525689561925
Bhatkal,2011,Census 2011 (Proxy Matched),Hindu,104369.0,64.59437045105709
Bidar,2011,Census 2011 (Proxy Matched),Hindu,131434.2,62.15163180058774
Bidar South,2011,Census 2011 (Proxy Matched),Hindu,160641.80000000002,62.15163180058774
Bijapur City,2011,Census 2011 (Proxy Matched),Hindu,303809.55000000005,76.60520750268695
Bilgi,2011,Census 2011 (Proxy Matched),Hindu,143738.0,89.67147865796599
Bommanahalli,2011,Census 2011 (Proxy Matched),Hindu,181121.0,88.23377534417412
Byadgi,2011,Census 2011 (Proxy Matched),Hindu,209733.40000000002,82.84330454621582
Byatarayanapura,2011,Census 2011 (Proxy Matched),Hindu,325108.0,92.25015606378753
